Application,Images,Epochs,Batchsize,Jobs,GpuType,GpuNumber,ExecutionTime,min,max
pytorch_alexnet,130000,2889,256,J2,K80,1,473741.5611285001,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,Quadro P600,1,1193160.1599881998,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,GTX 1080Ti,2,439661.61297611997,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,M60,2,450104.7198497399,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,K80,2,459559.26714330004,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,Quadro P600,2,603953.435196,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,GTX 1080Ti,3,452086.42887972,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,M60,3,441736.8131084399,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,K80,3,432366.90692796005,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,Quadro P600,3,289265.41649394,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,GTX 1080Ti,4,451353.29341661994,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,M60,4,425409.7344213601,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,K80,4,401922.03014064,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,Quadro P600,4,43207.074427086,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,GTX 1080Ti,5,445356.9774068399,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,M60,5,405898.9869213,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,K80,5,370176.1467476399,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,Quadro P600,5,370176.1467476399,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,GTX 1080Ti,6,436729.0711815,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,M60,6,384796.40498586,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,K80,6,337779.7600518,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,Quadro P600,6,337779.7600518,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,GTX 1080Ti,7,426597.39902789996,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,M60,7,362784.20343084,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,K80,7,305011.6571664,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,Quadro P600,7,305011.6571664,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,GTX 1080Ti,8,415525.87323413993,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,M60,8,340203.48960636003,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,K80,8,272011.23170586,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,Quadro P600,8,272011.23170586,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,1494,512,J3,GTX 1080Ti,1,193113.71050968,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,M60,1,218178.51065172,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,K80,1,240870.64059971998,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,Quadro P600,1,587435.2220016,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,GTX 1080Ti,2,224784.53857908,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,M60,2,228065.44361363997,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,K80,2,231035.77344816003,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,Quadro P600,2,276400.00824624,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,GTX 1080Ti,3,229532.30537256002,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,M60,3,221430.76868448,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,K80,3,214096.13518392004,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,Quadro P600,3,102078.2595006,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,GTX 1080Ti,4,227549.30683212003,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,M60,4,210665.69177508,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,K80,4,195380.30413404,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,Quadro P600,4,195380.30413404,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,GTX 1080Ti,5,222874.00214616003,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,M60,5,198248.45407956006,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,K80,5,175953.99597588,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,Quadro P600,5,175953.99597588,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,GTX 1080Ti,6,216852.54441732,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,M60,6,185005.13600591998,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,K80,6,156172.44927851998,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,Quadro P600,6,156172.44927851998,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,GTX 1080Ti,7,210061.85635692,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,M60,7,171289.77195924,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,K80,7,136187.90912592,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,Quadro P600,7,136187.90912592,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,GTX 1080Ti,8,202790.39933555998,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,M60,8,157279.37921676,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,K80,8,116076.49804511998,102078.2595006,587435.2220016
pytorch_alexnet,130000,1494,512,J3,Quadro P600,8,116076.49804511998,102078.2595006,587435.2220016
pytorch_alexnet,130000,972,1024,J4,GTX 1080Ti,1,125414.66676168001,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,M60,1,141169.47145128003,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,K80,1,155432.9035512,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,Quadro P600,1,373270.5585648,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,GTX 1080Ti,2,145382.87811671998,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,M60,2,146875.06322064,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,K80,2,148225.99592376,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,Quadro P600,2,168858.05761800002,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,GTX 1080Ti,3,147914.99167392,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,M60,3,141802.90651079998,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,K80,3,136269.40016808,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,Quadro P600,3,51759.161954639996,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,GTX 1080Ti,4,146088.08075736,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,M60,4,134036.31269088,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,K80,4,123125.38240464,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,Quadro P600,4,123125.38240464,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,GTX 1080Ti,5,142517.56006296,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,M60,5,125191.94402304002,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,K80,5,109506.39583031999,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,Quadro P600,5,109506.39583031999,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,GTX 1080Ti,6,138075.23448936,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,M60,6,115808.68794095998,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,K80,6,95649.92485056,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,Quadro P600,6,95649.92485056,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,GTX 1080Ti,7,133134.73469352,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,M60,7,106117.49617416,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,K80,7,81657.74849904,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,Quadro P600,7,81657.74849904,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,GTX 1080Ti,8,127882.87600391997,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,M60,8,96233.84461655999,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,K80,8,67580.75630232,51759.161954639996,373270.5585648
pytorch_alexnet,130000,972,1024,J4,Quadro P600,8,67580.75630232,51759.161954639996,373270.5585648
pytorch_alexnet,130000,1135,128,J5,GTX 1080Ti,1,148022.1812245,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,M60,1,171315.9764505,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,K80,1,192404.74736200002,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,Quadro P600,1,514482.09644449997,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,GTX 1080Ti,2,176587.7815475,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,M60,2,183964.171631,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,K80,2,190642.3019965,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,Quadro P600,2,292633.7613375,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,GTX 1080Ti,3,184006.09433149997,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,M60,3,184177.78975400003,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,K80,3,184333.23231700002,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,Quadro P600,3,186707.2215845,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,GTX 1080Ti,4,186137.585174,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,M60,4,181282.76364100003,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,K80,4,176887.50655900003,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,Quadro P600,4,109761.1305338,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,GTX 1080Ti,5,186154.34742150002,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,M60,5,177144.279879,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,K80,5,168987.118415,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,Quadro P600,5,44407.2190639,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,GTX 1080Ti,6,185113.74514450002,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,M60,6,172384.067179,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,K80,6,160859.3989645,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,Quadro P600,6,160859.3989645,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,GTX 1080Ti,7,183468.934811,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,M60,7,167268.5809785,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,K80,7,152601.77604,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,Quadro P600,7,152601.77604,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,GTX 1080Ti,8,181446.494201,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,M60,8,161931.0487125,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,K80,8,144262.9633875,44407.2190639,514482.09644449997
pytorch_alexnet,130000,1135,128,J5,Quadro P600,8,144262.9633875,44407.2190639,514482.09644449997
pytorch_alexnet,130000,2929,256,J6,GTX 1080Ti,1,379706.0521731,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,M60,1,432430.5427018,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,K80,1,480164.05647909996,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,Quadro P600,1,1209172.1010303001,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,GTX 1080Ti,2,445673.7315029999,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,M60,2,456232.7931983,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,K80,2,465792.3189986,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,Quadro P600,2,611789.7636021,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,GTX 1080Ti,3,458278.9389976,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,M60,3,447754.6293015,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,K80,3,438226.5659405,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,Quadro P600,3,292709.62572014,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,GTX 1080Ti,4,457543.5286066,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,M60,4,431206.36158669996,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,K80,4,407362.308988,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,Quadro P600,4,43205.03749042001,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,GTX 1080Ti,5,451471.8709442,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,M60,5,411430.05263760005,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,K80,5,375178.65059489995,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,Quadro P600,5,375178.65059489995,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,GTX 1080Ti,6,442732.08964609995,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,M60,6,390039.72263200005,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,K80,6,342335.2914815,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,Quadro P600,6,342335.2914815,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,GTX 1080Ti,7,432467.66601939994,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,M60,7,367727.09534009994,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,K80,7,309114.96040240006,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,Quadro P600,7,309114.96040240006,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,GTX 1080Ti,8,421250.3414499,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,M60,8,344838.0317683,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,K80,8,275659.02185206,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,2929,256,J6,Quadro P600,8,275659.02185206,43205.03749042001,1209172.1010303001
pytorch_alexnet,130000,669,512,J7,GTX 1080Ti,1,86461.4996562,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,M60,1,97668.4139169,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,K80,1,107814.4654416,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,Quadro P600,1,262769.6023074,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,GTX 1080Ti,2,100644.7066089,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,M60,2,102096.5151495,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,K80,2,103410.8934285,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,Quadro P600,2,123484.6788981,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,GTX 1080Ti,3,102775.1696892,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,M60,3,99128.00179020001,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,K80,3,95826.0801051,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,Quadro P600,3,45397.62243729,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,GTX 1080Ti,4,101892.4467345,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,M60,4,94310.3347662,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,K80,4,87445.95643739999,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,Quadro P600,4,87445.95643739999,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,GTX 1080Ti,5,99804.44943270001,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,M60,5,88753.00622279999,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,K80,5,78747.7086186,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,Quadro P600,5,78747.7086186,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,GTX 1080Ti,6,97113.8149239,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,M60,6,82825.84698660001,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,K80,6,69890.3987577,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,Quadro P600,6,69890.3987577,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,GTX 1080Ti,7,94078.81634459998,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,M60,7,76687.3559355,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,K80,7,60942.196262130004,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,Quadro P600,7,60942.196262130004,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,GTX 1080Ti,8,90828.59016269998,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,M60,8,70416.7824081,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,K80,8,51937.18590585,45397.62243729,262769.6023074
pytorch_alexnet,130000,669,512,J7,Quadro P600,8,51937.18590585,45397.62243729,262769.6023074
pytorch_alexnet,130000,1101,1024,J8,GTX 1080Ti,1,142058.79779430002,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,M60,1,159841.3599369,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,K80,1,175940.5989957,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,Quadro P600,1,421815.5378294999,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,GTX 1080Ti,2,164675.7301572,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,M60,2,166301.81148030004,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,K80,2,167773.9657368,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,Quadro P600,2,190257.3772974,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,GTX 1080Ti,3,167559.6046701,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,M60,3,160564.3112184,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,K80,3,154231.20243600002,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,Quadro P600,3,57509.07005679,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,GTX 1080Ti,4,165510.2147205,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,M60,4,151777.32303270002,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,K80,4,139344.4067073,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,Quadro P600,4,139344.4067073,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,GTX 1080Ti,5,161487.5189859,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,M60,5,141770.5395894,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,K80,5,123919.9980735,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,Quadro P600,5,123919.9980735,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,GTX 1080Ti,6,156478.17035879998,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,M60,6,131153.85862739998,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,K80,6,108226.78286604,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,Quadro P600,6,108226.78286604,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,GTX 1080Ti,7,150905.0201103,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,M60,7,120188.6647032,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,K80,7,92379.96395568,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,Quadro P600,7,92379.96395568,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,GTX 1080Ti,8,144979.4937108,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,M60,8,109005.65023818,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,K80,8,76437.14272275001,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1101,1024,J8,Quadro P600,8,76437.14272275001,57509.07005679,421815.5378294999
pytorch_alexnet,130000,1157,128,J9,GTX 1080Ti,1,150878.21121186667,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,M60,1,174623.07754493336,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,K80,1,196120.22061753334,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,Quadro P600,1,524434.4152562667,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,GTX 1080Ti,2,179999.17014213334,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,M60,2,187517.88427406666,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,K80,2,194324.8660764667,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,Quadro P600,2,298284.20348566666,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,GTX 1080Ti,3,187561.64147413333,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,M60,3,187736.04742273333,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,K80,3,187893.9438298,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,Quadro P600,3,190305.40981833334,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,GTX 1080Ti,4,189734.49094513335,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,M60,4,184785.04965700003,45250.673299346665,524434.4152562667
pytorch_alexnet,130000,1157,128,J9,K80,4,180304.12965673333,45250.673299346665,524434.4152562667
